x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.045273,-0.675583,-0.763199,1.020262,39318.685525,2001-01-01 11:55:18.686 +0100
0.010468,-0.700027,-0.729492,1.011092,39318.656081,2001-01-01 11:55:18.656 +0100
-0.037796,-0.679794,-0.704605,0.979805,39318.626634,2001-01-01 11:55:18.627 +0100
-0.023438,-0.672852,-0.744461,1.003743,39318.597182,2001-01-01 11:55:18.597 +0100
-0.040573,-0.657791,-0.753357,1.000941,39318.567739,2001-01-01 11:55:18.568 +0100
-0.031815,-0.663300,-0.744675,0.997757,39318.538293,2001-01-01 11:55:18.538 +0100
-0.024475,-0.677597,-0.750610,1.011510,39318.508844,2001-01-01 11:55:18.509 +0100
-0.025513,-0.676941,-0.762039,1.019610,39318.479395,2001-01-01 11:55:18.479 +0100
-0.064407,-0.665634,-0.776093,1.024469,39318.449945,2001-01-01 11:55:18.450 +0100
-0.014664,-0.678711,-0.729401,0.996438,39318.420499,2001-01-01 11:55:18.420 +0100
-0.018295,-0.676483,-0.714401,0.984039,39318.391048,2001-01-01 11:55:18.391 +0100
-0.039337,-0.674545,-0.727341,0.992765,39318.361598,2001-01-01 11:55:18.362 +0100
-0.038284,-0.690384,-0.730988,1.006200,39318.332148,2001-01-01 11:55:18.332 +0100
-0.041809,-0.692276,-0.725906,1.003959,39318.302701,2001-01-01 11:55:18.303 +0100
-0.049332,-0.693100,-0.705505,0.990232,39318.273251,2001-01-01 11:55:18.273 +0100
-0.045258,-0.709091,-0.717911,1.010076,39318.243802,2001-01-01 11:55:18.244 +0100
-0.052643,-0.695633,-0.717850,1.000992,39318.214352,2001-01-01 11:55:18.214 +0100
-0.035278,-0.728165,-0.714798,1.020982,39318.184904,2001-01-01 11:55:18.185 +0100
-0.052551,-0.735123,-0.708344,1.022212,39318.155458,2001-01-01 11:55:18.155 +0100
-0.033035,-0.730331,-0.684235,1.001325,39318.126011,2001-01-01 11:55:18.126 +0100
-0.032089,-0.692551,-0.711655,0.993533,39318.096566,2001-01-01 11:55:18.097 +0100
-0.049835,-0.667648,-0.722427,0.984956,39318.067120,2001-01-01 11:55:18.067 +0100
-0.020523,-0.668671,-0.678513,0.952849,39318.037650,2001-01-01 11:55:18.038 +0100
-0.030273,-0.658981,-0.706161,0.966352,39318.008224,2001-01-01 11:55:18.008 +0100
-0.016327,-0.688965,-0.709076,0.988801,39317.978777,2001-01-01 11:55:17.979 +0100
-0.029160,-0.697067,-0.724991,1.006163,39317.949327,2001-01-01 11:55:17.949 +0100
-0.030304,-0.733749,-0.738541,1.041513,39317.919879,2001-01-01 11:55:17.920 +0100
-0.024551,-0.700302,-0.727783,1.010294,39317.890431,2001-01-01 11:55:17.890 +0100
-0.060318,-0.640701,-0.746063,0.985265,39317.860985,2001-01-01 11:55:17.861 +0100
-0.060440,-0.657150,-0.743637,0.994231,39317.831537,2001-01-01 11:55:17.832 +0100
-0.024963,-0.659134,-0.705795,0.966037,39317.802093,2001-01-01 11:55:17.802 +0100
-0.033661,-0.667557,-0.699387,0.967423,39317.772646,2001-01-01 11:55:17.773 +0100
0.017654,-0.672455,-0.716827,0.983030,39317.743201,2001-01-01 11:55:17.743 +0100
-0.006668,-0.664322,-0.750534,1.002332,39317.713752,2001-01-01 11:55:17.714 +0100
-0.017380,-0.710037,-0.776581,1.052394,39317.684302,2001-01-01 11:55:17.684 +0100
-0.060913,-0.696457,-0.826813,1.082766,39317.654853,2001-01-01 11:55:17.655 +0100
-0.072784,-0.686523,-0.830460,1.079942,39317.625461,2001-01-01 11:55:17.625 +0100
-0.011948,-0.624222,-0.770447,0.991657,39317.595978,2001-01-01 11:55:17.596 +0100
-0.023804,-0.537018,-0.757950,0.929216,39317.566561,2001-01-01 11:55:17.567 +0100
-0.031021,-0.554535,-0.679901,0.877916,39317.537113,2001-01-01 11:55:17.537 +0100
-0.080963,-0.513351,-0.582321,0.780502,39317.507669,2001-01-01 11:55:17.508 +0100
-0.107742,-0.494720,-0.473953,0.693533,39317.478221,2001-01-01 11:55:17.478 +0100
-0.122833,-0.464233,-0.431259,0.645434,39317.448778,2001-01-01 11:55:17.449 +0100
-0.135773,-0.448242,-0.391022,0.610126,39317.419333,2001-01-01 11:55:17.419 +0100
-0.233643,-0.368805,-0.392242,0.586907,39317.389887,2001-01-01 11:55:17.390 +0100
-0.320374,-0.257858,-0.435486,0.598981,39317.360443,2001-01-01 11:55:17.360 +0100
-0.385864,-0.169510,-0.518921,0.668509,39317.330999,2001-01-01 11:55:17.331 +0100
-0.492920,-0.089355,-0.500275,0.707975,39317.301532,2001-01-01 11:55:17.302 +0100
-0.546875,0.013870,-0.476669,0.725588,39317.272109,2001-01-01 11:55:17.272 +0100
-0.667511,0.055984,-0.519272,0.847554,39317.242666,2001-01-01 11:55:17.243 +0100
-0.700790,0.062531,-0.638580,0.950159,39317.213220,2001-01-01 11:55:17.213 +0100
-0.836411,0.111282,-0.623337,1.049054,39317.183775,2001-01-01 11:55:17.184 +0100
-1.133057,0.321503,-0.653702,1.347037,39317.154333,2001-01-01 11:55:17.154 +0100
-1.457153,0.478897,-0.670166,1.673846,39317.124886,2001-01-01 11:55:17.125 +0100
-1.544647,0.460281,-0.612717,1.724302,39317.095438,2001-01-01 11:55:17.095 +0100
-1.724747,0.491699,-0.533142,1.871032,39317.065989,2001-01-01 11:55:17.066 +0100
-1.648102,0.549286,-0.445328,1.793397,39317.036542,2001-01-01 11:55:17.037 +0100
-1.592331,0.557739,-0.333542,1.719838,39317.007095,2001-01-01 11:55:17.007 +0100
-1.403687,0.611633,-0.262451,1.553484,39316.977646,2001-01-01 11:55:16.978 +0100
-1.246552,0.599365,-0.212830,1.399438,39316.948200,2001-01-01 11:55:16.948 +0100
-1.197845,0.524109,-0.113861,1.312436,39316.918753,2001-01-01 11:55:16.919 +0100
-1.066391,0.572479,-0.056305,1.211649,39316.889309,2001-01-01 11:55:16.889 +0100
-1.055038,0.554214,-0.028961,1.192098,39316.859858,2001-01-01 11:55:16.860 +0100
-0.976227,0.481293,-0.025116,1.088711,39316.830414,2001-01-01 11:55:16.830 +0100
-0.947647,0.393967,-0.044647,1.027248,39316.800964,2001-01-01 11:55:16.801 +0100
-0.917999,0.297974,-0.073654,0.967954,39316.771514,2001-01-01 11:55:16.772 +0100
-0.915741,0.193420,-0.101944,0.941481,39316.742059,2001-01-01 11:55:16.742 +0100
-1.027557,0.187027,-0.161331,1.056826,39316.712615,2001-01-01 11:55:16.713 +0100
-1.126297,0.282394,-0.180695,1.175135,39316.683165,2001-01-01 11:55:16.683 +0100
-1.150253,0.371185,-0.138458,1.216566,39316.653715,2001-01-01 11:55:16.654 +0100
-1.165726,0.391983,-0.098343,1.233790,39316.624266,2001-01-01 11:55:16.624 +0100
-1.117004,0.240616,-0.107834,1.147703,39316.594818,2001-01-01 11:55:16.595 +0100
-0.935608,0.054840,-0.217636,0.962151,39316.565369,2001-01-01 11:55:16.565 +0100
-1.122925,0.125229,-0.285690,1.165445,39316.535924,2001-01-01 11:55:16.536 +0100
-1.602188,0.609375,-0.413055,1.763224,39316.506477,2001-01-01 11:55:16.506 +0100
-1.833374,0.836365,-0.567642,2.093558,39316.477032,2001-01-01 11:55:16.477 +0100
-1.600555,0.689682,-0.493561,1.811364,39316.447584,2001-01-01 11:55:16.448 +0100
-1.466858,0.557755,-0.356400,1.609280,39316.418139,2001-01-01 11:55:16.418 +0100
-1.363495,0.510284,-0.262436,1.479318,39316.388691,2001-01-01 11:55:16.389 +0100
-1.183655,0.417099,-0.161560,1.265350,39316.359242,2001-01-01 11:55:16.359 +0100
-1.037140,0.356094,-0.082428,1.099662,39316.329796,2001-01-01 11:55:16.330 +0100
-0.838898,0.323181,-0.012589,0.899085,39316.300349,2001-01-01 11:55:16.300 +0100
-0.745422,0.334122,0.025726,0.817284,39316.270903,2001-01-01 11:55:16.271 +0100
-0.789139,0.231033,0.109711,0.829550,39316.241453,2001-01-01 11:55:16.241 +0100
-0.605881,0.267838,0.128067,0.674707,39316.212003,2001-01-01 11:55:16.212 +0100
-0.514832,0.270996,0.096817,0.589800,39316.182553,2001-01-01 11:55:16.183 +0100
-0.467361,0.291779,0.004303,0.550981,39316.153103,2001-01-01 11:55:16.153 +0100
-0.529388,0.396988,-0.024902,0.662172,39316.123652,2001-01-01 11:55:16.124 +0100
-0.634247,0.543854,-0.012650,0.835587,39316.094204,2001-01-01 11:55:16.094 +0100
-0.755173,0.660233,0.020142,1.003294,39316.064756,2001-01-01 11:55:16.065 +0100
-0.919846,0.675415,-0.050125,1.142285,39316.035305,2001-01-01 11:55:16.035 +0100
-0.976746,0.649414,-0.125107,1.179586,39316.005852,2001-01-01 11:55:16.006 +0100
-0.971878,0.503265,-0.193253,1.111382,39315.976409,2001-01-01 11:55:15.976 +0100
-0.987930,0.429916,-0.247131,1.105400,39315.946964,2001-01-01 11:55:15.947 +0100
-1.163315,0.573914,-0.309357,1.333559,39315.917517,2001-01-01 11:55:15.918 +0100
-1.487900,0.802246,-0.426865,1.743461,39315.888070,2001-01-01 11:55:15.888 +0100
-1.564911,0.768570,-0.458618,1.802769,39315.858626,2001-01-01 11:55:15.859 +0100
-1.406952,0.661880,-0.445343,1.617384,39315.829179,2001-01-01 11:55:15.829 +0100
-1.490677,0.672607,-0.409409,1.685863,39315.799733,2001-01-01 11:55:15.800 +0100
-1.347092,0.537369,-0.320068,1.485215,39315.770284,2001-01-01 11:55:15.770 +0100
-1.321838,0.338333,-0.313995,1.400114,39315.740836,2001-01-01 11:55:15.741 +0100
-1.139893,0.259216,-0.313354,1.210264,39315.711386,2001-01-01 11:55:15.711 +0100
-0.996582,0.159637,-0.282166,1.047987,39315.681934,2001-01-01 11:55:15.682 +0100
-0.933075,0.143677,-0.250534,0.976749,39315.652486,2001-01-01 11:55:15.652 +0100
-0.919388,0.120026,-0.163635,0.941518,39315.623039,2001-01-01 11:55:15.623 +0100
-0.877701,0.097168,-0.099884,0.888694,39315.593592,2001-01-01 11:55:15.594 +0100
-0.834702,0.034866,-0.065521,0.837995,39315.564143,2001-01-01 11:55:15.564 +0100
-0.899673,0.041336,-0.086060,0.904725,39315.534694,2001-01-01 11:55:15.535 +0100
-1.020554,0.065567,-0.136185,1.031685,39315.505249,2001-01-01 11:55:15.505 +0100
-1.166107,0.138214,-0.194336,1.190242,39315.475798,2001-01-01 11:55:15.476 +0100
-1.260880,0.241409,-0.232788,1.304717,39315.446327,2001-01-01 11:55:15.446 +0100
-1.388687,0.322830,-0.248993,1.447297,39315.416897,2001-01-01 11:55:15.417 +0100
-1.263504,0.282532,-0.351685,1.341622,39315.387446,2001-01-01 11:55:15.387 +0100
-1.067749,0.165222,-0.392792,1.149640,39315.357995,2001-01-01 11:55:15.358 +0100
-1.261841,0.286377,-0.417587,1.359644,39315.328545,2001-01-01 11:55:15.329 +0100
-1.777542,0.728577,-0.567520,2.003137,39315.299093,2001-01-01 11:55:15.299 +0100
-1.839600,0.819366,-0.584274,2.096870,39315.269635,2001-01-01 11:55:15.270 +0100
-1.515137,0.631500,-0.429291,1.696680,39315.240191,2001-01-01 11:55:15.240 +0100
-1.372665,0.580170,-0.287659,1.517747,39315.210742,2001-01-01 11:55:15.211 +0100
-1.153473,0.509918,-0.189621,1.275332,39315.181298,2001-01-01 11:55:15.181 +0100
-0.928146,0.407608,-0.105743,1.019206,39315.151852,2001-01-01 11:55:15.152 +0100
-0.761642,0.352478,-0.065750,0.841821,39315.122402,2001-01-01 11:55:15.122 +0100
-0.592590,0.312378,-0.016083,0.670076,39315.092924,2001-01-01 11:55:15.093 +0100
-0.492401,0.301208,0.077637,0.582420,39315.063503,2001-01-01 11:55:15.064 +0100
-0.475525,0.317749,0.102875,0.581095,39315.034056,2001-01-01 11:55:15.034 +0100
-0.444641,0.359619,0.077515,0.577096,39315.004603,2001-01-01 11:55:15.005 +0100
-0.407806,0.386505,0.015701,0.562084,39314.975155,2001-01-01 11:55:14.975 +0100
-0.464523,0.454468,-0.047806,0.651620,39314.945705,2001-01-01 11:55:14.946 +0100
-0.624054,0.552200,-0.109558,0.840459,39314.916257,2001-01-01 11:55:14.916 +0100
-0.875641,0.647614,-0.156723,1.100324,39314.886808,2001-01-01 11:55:14.887 +0100
-1.007858,0.677353,-0.177277,1.227197,39314.857361,2001-01-01 11:55:14.857 +0100
-1.165863,0.677353,-0.169174,1.358920,39314.827909,2001-01-01 11:55:14.828 +0100
-1.245560,0.632095,-0.128555,1.402672,39314.798458,2001-01-01 11:55:14.798 +0100
-1.189743,0.542038,-0.209839,1.324132,39314.769005,2001-01-01 11:55:14.769 +0100
-1.131760,0.462753,-0.232849,1.244684,39314.739555,2001-01-01 11:55:14.740 +0100
-1.464264,0.666565,-0.329483,1.642235,39314.710100,2001-01-01 11:55:14.710 +0100
-1.625977,0.803574,-0.374130,1.851892,39314.680656,2001-01-01 11:55:14.681 +0100
-1.407806,0.632172,-0.316376,1.575326,39314.651208,2001-01-01 11:55:14.651 +0100
-1.397171,0.566299,-0.297501,1.536648,39314.621762,2001-01-01 11:55:14.622 +0100
-1.362930,0.451035,-0.268875,1.460584,39314.592313,2001-01-01 11:55:14.592 +0100
-1.225647,0.310272,-0.241714,1.287208,39314.562864,2001-01-01 11:55:14.563 +0100
-1.060135,0.178482,-0.240219,1.101566,39314.533421,2001-01-01 11:55:14.533 +0100
-0.953720,0.130844,-0.246704,0.993763,39314.503977,2001-01-01 11:55:14.504 +0100
-0.897156,0.063904,-0.226318,0.927465,39314.474529,2001-01-01 11:55:14.475 +0100
-0.874115,0.045563,-0.192719,0.896266,39314.445084,2001-01-01 11:55:14.445 +0100
-0.879959,0.047852,-0.146149,0.893296,39314.415639,2001-01-01 11:55:14.416 +0100
-0.790802,-0.017548,-0.111313,0.798791,39314.386192,2001-01-01 11:55:14.386 +0100
-0.860458,-0.032730,-0.112854,0.868445,39314.356746,2001-01-01 11:55:14.357 +0100
-0.999084,0.034454,-0.143448,1.009918,39314.327299,2001-01-01 11:55:14.327 +0100
-1.138336,0.160828,-0.162491,1.161068,39314.297856,2001-01-01 11:55:14.298 +0100
-1.232315,0.280273,-0.211212,1.281313,39314.268407,2001-01-01 11:55:14.268 +0100
-1.234894,0.348297,-0.280869,1.313454,39314.238956,2001-01-01 11:55:14.239 +0100
-1.268982,0.344635,-0.353851,1.361727,39314.209506,2001-01-01 11:55:14.210 +0100
-1.085602,0.323639,-0.416168,1.206843,39314.180057,2001-01-01 11:55:14.180 +0100
-1.204834,0.396484,-0.448502,1.345354,39314.150603,2001-01-01 11:55:14.151 +0100
-1.742126,0.808746,-0.547485,1.997202,39314.121160,2001-01-01 11:55:14.121 +0100
-1.716156,0.802719,-0.522018,1.965211,39314.091709,2001-01-01 11:55:14.092 +0100
-1.420944,0.542511,-0.316574,1.553583,39314.062257,2001-01-01 11:55:14.062 +0100
-1.315765,0.547607,-0.137177,1.431758,39314.032807,2001-01-01 11:55:14.033 +0100
-1.154007,0.586853,-0.031967,1.295048,39314.003354,2001-01-01 11:55:14.003 +0100
-0.846039,0.458145,0.027405,0.962512,39313.973894,2001-01-01 11:55:13.974 +0100
-0.628693,0.334076,0.030548,0.712597,39313.944463,2001-01-01 11:55:13.944 +0100
-0.519897,0.324631,0.020859,0.613281,39313.915016,2001-01-01 11:55:13.915 +0100
-0.443039,0.317291,0.016129,0.545176,39313.885567,2001-01-01 11:55:13.886 +0100
-0.448532,0.300522,0.040726,0.541436,39313.856116,2001-01-01 11:55:13.856 +0100
-0.499130,0.293335,0.060959,0.582145,39313.826666,2001-01-01 11:55:13.827 +0100
-0.546890,0.290634,0.024277,0.619796,39313.797217,2001-01-01 11:55:13.797 +0100
-0.623962,0.318726,-0.025146,0.701104,39313.767768,2001-01-01 11:55:13.768 +0100
-0.735901,0.425293,-0.048599,0.851344,39313.738319,2001-01-01 11:55:13.738 +0100
-0.930115,0.539230,-0.036484,1.075739,39313.708871,2001-01-01 11:55:13.709 +0100
