x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
0.107880,-0.671631,-0.705872,0.980296,20537.944620,2001-01-01 06:42:17.945 +0100
0.127731,-0.692261,-0.718689,1.006009,20537.915223,2001-01-01 06:42:17.915 +0100
0.108917,-0.691269,-0.675690,0.972765,20537.885826,2001-01-01 06:42:17.886 +0100
0.066620,-0.666031,-0.724823,0.986612,20537.856426,2001-01-01 06:42:17.856 +0100
0.057816,-0.657333,-0.765198,1.010424,20537.827038,2001-01-01 06:42:17.827 +0100
0.061752,-0.664688,-0.745590,1.000764,20537.797646,2001-01-01 06:42:17.798 +0100
0.067764,-0.648956,-0.737457,0.984672,20537.768253,2001-01-01 06:42:17.768 +0100
0.051819,-0.645615,-0.763031,1.000860,20537.738860,2001-01-01 06:42:17.739 +0100
0.017761,-0.652100,-0.774963,1.012975,20537.709468,2001-01-01 06:42:17.709 +0100
-0.013580,-0.671967,-0.734589,0.995663,20537.680070,2001-01-01 06:42:17.680 +0100
0.016556,-0.662933,-0.734558,0.989611,20537.650674,2001-01-01 06:42:17.651 +0100
-0.015762,-0.632858,-0.771957,0.998337,20537.621279,2001-01-01 06:42:17.621 +0100
-0.038696,-0.626434,-0.796692,1.014217,20537.591888,2001-01-01 06:42:17.592 +0100
-0.071014,-0.648132,-0.743271,0.988721,20537.562495,2001-01-01 06:42:17.562 +0100
-0.077972,-0.639053,-0.728394,0.972125,20537.533105,2001-01-01 06:42:17.533 +0100
-0.063751,-0.641739,-0.762650,0.998763,20537.503711,2001-01-01 06:42:17.504 +0100
-0.105789,-0.630829,-0.800385,1.024574,20537.474308,2001-01-01 06:42:17.474 +0100
-0.072189,-0.665710,-0.718231,0.981956,20537.444923,2001-01-01 06:42:17.445 +0100
-0.060806,-0.651108,-0.718948,0.971867,20537.415528,2001-01-01 06:42:17.416 +0100
-0.093536,-0.642776,-0.794174,1.025974,20537.386133,2001-01-01 06:42:17.386 +0100
-0.096786,-0.658829,-0.741364,0.996515,20537.356737,2001-01-01 06:42:17.357 +0100
-0.066162,-0.686066,-0.692123,0.976780,20537.327344,2001-01-01 06:42:17.327 +0100
-0.075027,-0.681580,-0.681778,0.966955,20537.297948,2001-01-01 06:42:17.298 +0100
-0.098770,-0.670670,-0.731613,0.997402,20537.268549,2001-01-01 06:42:17.269 +0100
-0.060364,-0.665634,-0.755142,1.008441,20537.239156,2001-01-01 06:42:17.239 +0100
-0.064178,-0.670441,-0.717239,0.983891,20537.209762,2001-01-01 06:42:17.210 +0100
-0.075546,-0.641907,-0.780060,1.013037,20537.180368,2001-01-01 06:42:17.180 +0100
-0.103790,-0.647217,-0.810486,1.042377,20537.150975,2001-01-01 06:42:17.151 +0100
-0.073929,-0.654556,-0.729919,0.983205,20537.121583,2001-01-01 06:42:17.122 +0100
-0.057785,-0.636185,-0.755325,0.989235,20537.092171,2001-01-01 06:42:17.092 +0100
-0.085281,-0.615402,-0.784866,1.001003,20537.062802,2001-01-01 06:42:17.063 +0100
-0.072632,-0.618729,-0.770325,0.990707,20537.033407,2001-01-01 06:42:17.033 +0100
-0.103683,-0.618576,-0.721878,0.956292,20537.004012,2001-01-01 06:42:17.004 +0100
-0.119888,-0.640259,-0.732803,0.980462,20536.974617,2001-01-01 06:42:16.975 +0100
-0.137817,-0.643158,-0.767059,1.010458,20536.945222,2001-01-01 06:42:16.945 +0100
-0.123123,-0.605240,-0.787689,1.000964,20536.915829,2001-01-01 06:42:16.916 +0100
-0.134689,-0.616592,-0.771912,0.997083,20536.886436,2001-01-01 06:42:16.886 +0100
-0.127396,-0.595016,-0.777924,0.987643,20536.857040,2001-01-01 06:42:16.857 +0100
-0.149063,-0.598785,-0.719055,0.947525,20536.827644,2001-01-01 06:42:16.828 +0100
-0.141235,-0.563400,-0.716904,0.922669,20536.798249,2001-01-01 06:42:16.798 +0100
-0.122604,-0.598068,-0.703873,0.931748,20536.768858,2001-01-01 06:42:16.769 +0100
-0.108810,-0.582504,-0.753601,0.958679,20536.739464,2001-01-01 06:42:16.739 +0100
-0.129532,-0.561584,-0.795502,0.982333,20536.710058,2001-01-01 06:42:16.710 +0100
-0.114716,-0.532028,-0.822540,0.986299,20536.680676,2001-01-01 06:42:16.681 +0100
-0.177017,-0.479385,-0.841461,0.984481,20536.651284,2001-01-01 06:42:16.651 +0100
-0.239243,-0.451782,-0.883087,1.020386,20536.621893,2001-01-01 06:42:16.622 +0100
-0.256973,-0.405670,-0.889954,1.011247,20536.592513,2001-01-01 06:42:16.593 +0100
-0.336426,-0.380402,-0.878723,1.014910,20536.563120,2001-01-01 06:42:16.563 +0100
-0.315369,-0.368958,-0.848618,0.977619,20536.533724,2001-01-01 06:42:16.534 +0100
-0.435043,-0.414703,-0.768173,0.975362,20536.504329,2001-01-01 06:42:16.504 +0100
-0.460922,-0.411163,-0.731354,0.957279,20536.474935,2001-01-01 06:42:16.475 +0100
-0.518295,-0.372528,-0.766571,0.997516,20536.445543,2001-01-01 06:42:16.446 +0100
-0.597595,-0.309662,-0.765594,1.019385,20536.416148,2001-01-01 06:42:16.416 +0100
-0.582870,-0.314392,-0.676682,0.946825,20536.386755,2001-01-01 06:42:16.387 +0100
-0.619217,-0.377533,-0.610748,0.948143,20536.357359,2001-01-01 06:42:16.357 +0100
-0.719147,-0.209213,-0.544098,0.925735,20536.327964,2001-01-01 06:42:16.328 +0100
-0.746170,-0.292694,-0.536484,0.964497,20536.298575,2001-01-01 06:42:16.299 +0100
-0.773544,-0.260513,-0.535416,0.976170,20536.269179,2001-01-01 06:42:16.269 +0100
-0.881775,-0.218140,-0.503845,1.038736,20536.239780,2001-01-01 06:42:16.240 +0100
-0.886093,-0.116272,-0.470718,1.010077,20536.210386,2001-01-01 06:42:16.210 +0100
-1.005600,0.036865,-0.424194,1.092031,20536.180994,2001-01-01 06:42:16.181 +0100
-1.072098,0.252457,-0.411636,1.175828,20536.151600,2001-01-01 06:42:16.152 +0100
-0.891159,0.197876,-0.333038,0.971717,20536.122204,2001-01-01 06:42:16.122 +0100
-0.807892,0.223175,-0.300629,0.890435,20536.092810,2001-01-01 06:42:16.093 +0100
-0.799927,0.327637,-0.292252,0.912491,20536.063412,2001-01-01 06:42:16.063 +0100
-0.733124,0.384216,-0.248871,0.864309,20536.034015,2001-01-01 06:42:16.034 +0100
-0.765396,0.438065,-0.258530,0.919005,20536.004615,2001-01-01 06:42:16.005 +0100
-0.799866,0.498688,-0.324631,0.996925,20535.975218,2001-01-01 06:42:15.975 +0100
-0.845627,0.546158,-0.372711,1.073446,20535.945815,2001-01-01 06:42:15.946 +0100
-0.972092,0.613312,-0.378647,1.210160,20535.916425,2001-01-01 06:42:15.916 +0100
-1.013779,0.634491,-0.337677,1.242720,20535.887029,2001-01-01 06:42:15.887 +0100
-1.006821,0.582886,-0.327927,1.208710,20535.857634,2001-01-01 06:42:15.858 +0100
-0.966476,0.557877,-0.370468,1.175819,20535.828238,2001-01-01 06:42:15.828 +0100
-0.950104,0.594238,-0.416733,1.195610,20535.798843,2001-01-01 06:42:15.799 +0100
-0.981461,0.646973,-0.455734,1.260767,20535.769446,2001-01-01 06:42:15.769 +0100
-1.054428,0.649673,-0.449677,1.317613,20535.740050,2001-01-01 06:42:15.740 +0100
-1.159378,0.686600,-0.407166,1.407608,20535.710652,2001-01-01 06:42:15.711 +0100
-1.210968,0.591736,-0.328598,1.387289,20535.681256,2001-01-01 06:42:15.681 +0100
-1.145660,0.332153,-0.272293,1.223522,20535.651859,2001-01-01 06:42:15.652 +0100
-1.115402,0.158249,-0.246399,1.153203,20535.622466,2001-01-01 06:42:15.622 +0100
-1.227051,0.255264,-0.253265,1.278654,20535.593071,2001-01-01 06:42:15.593 +0100
-1.403229,0.429489,-0.292892,1.496428,20535.563667,2001-01-01 06:42:15.564 +0100
-1.268372,0.382370,-0.320618,1.363000,20535.534277,2001-01-01 06:42:15.534 +0100
-1.118713,0.176834,-0.262772,1.162686,20535.504881,2001-01-01 06:42:15.505 +0100
